RefID,ReadCount
NM_021396.2,90
NM_015790.3,910
NM_011611.2,77
NM_009744.4,0
NM_009855.2,5
NM_019388.3,847
NM_007548.4,0
NM_021893.3,67
NM_001109661.1,638
